building_id,lat,lng,building_size_category,property_tag,neighborhood_type,monthly_usage_kwh,load_type,blackout_frequency,average_blackout_duration_hrs,is_theft_simulated,expected_monthly_usage_kwh,risk_score,anomaly_reason
B0030,6.4431743,3.3781859,Medium,Industrial,Dense Urban,646.8,Constant Heavy,13,2,False,718.9705,11.4,Usage is within normal expected range compared to peers.
B0031,6.4340949,3.4704777,Huge,Industrial,Commercial District,5493.68,Constant Heavy,4,1,False,4032.0216666666665,14.2,Usage is within normal expected range compared to peers.
B0032,6.4457851,3.3764429,Large,Residential,Suburb,414.09,Morning/Evening Peak,5,3,False,412.80782608695654,5.3,Usage is within normal expected range compared to peers.
B0033,6.436893,3.3938733,Medium,Commercial,Dense Urban,357.89,Daytime Peak,8,5,False,366.41720000000004,6.7,Usage is within normal expected range compared to peers.
B0034,6.4436688,3.3772373,Medium,Commercial,Dense Urban,414.63,Constant,8,6,False,366.41720000000004,9.2,Usage is within normal expected range compared to peers.
B0035,6.4511083,3.3973652,Small,Industrial,Slum,268.91,Constant Heavy,28,5,False,255.02166666666668,15.5,Usage is within normal expected range compared to peers.
B0036,6.4497862,3.3990963,Large,Residential,Dense Urban,423.42,Constant,9,6,False,412.80782608695654,9.4,Usage is within normal expected range compared to peers.
B0037,6.4497286,3.3982602,Huge,Commercial,Suburb,2713.28,Daytime Peak,8,3,False,2410.923448275862,14.6,Usage is within normal expected range compared to peers.
B0038,6.591642,3.3939443,Small,Commercial,Slum,106.94,Constant,21,11,False,108.35470588235295,23.0,Usage is within normal expected range compared to peers.
B0039,6.5923213,3.3939001,Huge,Residential,Commercial District,937.77,Erratic,2,1,False,843.0926315789474,32.8,Erratic load type is unusual for this property tag.
B0040,6.5905776,3.3933544,Medium,Residential,Suburb,120.64,Morning/Evening Peak,2,5,False,143.5676,54.4,Noticeably below average (143.6 kWh) for Medium Residential buildings.
B0041,6.4432031,3.3778429,Huge,Commercial,Dense Urban,2674.49,Daytime Peak,15,4,False,2410.923448275862,6.9,Usage is within normal expected range compared to peers.
B0042,6.4955224,3.3865844,Small,Commercial,Dense Urban,105.8,Daytime Peak,6,6,False,108.35470588235295,11.9,Usage is within normal expected range compared to peers.
B0043,6.4769786,3.3664478,Medium,Commercial,Slum,413.52,Daytime Peak,20,11,False,366.41720000000004,22.5,Usage is within normal expected range compared to peers.
B0044,6.5920627,3.3927475,Large,Commercial,Suburb,1049.41,Daytime Peak,7,5,False,1013.3372222222222,13.5,Usage is within normal expected range compared to peers.
B0045,6.4344205,3.4082589,Huge,Commercial,Slum,2835.55,Daytime Peak,27,8,False,2410.923448275862,15.3,Usage is within normal expected range compared to peers.
B0046,6.4451671,3.3757768,Small,Industrial,Dense Urban,233.89,Constant Heavy,11,2,False,255.02166666666668,9.9,Usage is within normal expected range compared to peers.
B0047,6.4958368,3.3868997,Huge,Commercial,Dense Urban,2435.2,Daytime Peak,8,3,False,2410.923448275862,9.1,Usage is within normal expected range compared to peers.
B0048,6.4912621,3.3861365,Medium,Commercial,Suburb,354.55,Daytime Peak,3,4,False,366.41720000000004,10.6,Usage is within normal expected range compared to peers.
B0049,6.4770197,3.3655682,Small,Industrial,Dense Urban,215.21,Constant Heavy,11,5,False,255.02166666666668,50.1,Noticeably below average (255.0 kWh) for Small Industrial buildings.
B0050,6.590971,3.3947174,Large,Residential,Commercial District,414.52,Morning/Evening Peak,2,1,False,412.80782608695654,8.2,Usage is within normal expected range compared to peers.
B0051,6.4451999,3.3762745,Small,Commercial,Slum,125.97,Daytime Peak,20,7,False,108.35470588235295,18.7,Usage is within normal expected range compared to peers.
B0052,6.4647445,3.3221069,Medium,Commercial,Slum,398.77,Daytime Peak,18,6,False,366.41720000000004,17.1,Usage is within normal expected range compared to peers.
B0053,6.5909883,3.3942709,Huge,Residential,Suburb,192.21,Constant,8,2,True,843.0926315789474,90.2,Suspiciously low usage. More than 2 std devs below average (843.1 kWh) for Huge Residential buildings.
B0054,6.491135,3.3858388,Small,Industrial,Suburb,230.14,Constant Heavy,10,4,False,255.02166666666668,8.1,Usage is within normal expected range compared to peers.
B0055,6.4959184,3.3852705,Large,Industrial,Suburb,233.41,Constant Heavy,3,3,True,1901.3005555555558,94.2,Suspiciously low usage. More than 2 std devs below average (1901.3 kWh) for Large Industrial buildings.
B0056,6.4368812,3.4228542,Small,Residential,Dense Urban,51.49,Morning/Evening Peak,7,2,False,47.352999999999994,13.3,Usage is within normal expected range compared to peers.
B0057,6.4802678,3.3616497,Medium,Commercial,Suburb,390.73,Daytime Peak,10,2,False,366.41720000000004,11.6,Usage is within normal expected range compared to peers.
B0058,6.433351,3.42051,Small,Commercial,Suburb,103.78,Daytime Peak,7,2,False,108.35470588235295,5.2,Usage is within normal expected range compared to peers.
B0059,6.4448191,3.3767919,Huge,Industrial,Dense Urban,4138.31,Constant Heavy,15,4,False,4032.0216666666665,12.2,Usage is within normal expected range compared to peers.
B0060,6.5912752,3.3927895,Huge,Commercial,Slum,2439.58,Daytime Peak,22,6,False,2410.923448275862,23.6,Usage is within normal expected range compared to peers.
B0061,6.4441681,3.3761132,Medium,Residential,Commercial District,142.36,Morning/Evening Peak,3,3,False,143.5676,7.5,Usage is within normal expected range compared to peers.
B0062,6.4389582,3.389939,Large,Residential,Slum,438.31,Morning/Evening Peak,19,6,False,412.80782608695654,20.9,Usage is within normal expected range compared to peers.
B0063,6.533183,3.3110729,Medium,Commercial,Suburb,308.11,Constant,8,5,False,366.41720000000004,14.1,Usage is within normal expected range compared to peers.
B0064,6.4340819,3.4694282,Medium,Residential,Commercial District,143.26,Morning/Evening Peak,2,3,False,143.5676,6.6,Usage is within normal expected range compared to peers.
B0065,6.4530237,3.401674,Small,Commercial,Slum,18.97,Daytime Peak,15,12,True,108.35470588235295,85.4,Suspiciously low usage. More than 2 std devs below average (108.4 kWh) for Small Commercial buildings.
B0066,6.4562252,3.3838743,Small,Residential,Suburb,54.98,Morning/Evening Peak,3,3,False,47.352999999999994,9.8,Usage is within normal expected range compared to peers.
B0067,6.501925,3.3652102,Medium,Industrial,Dense Urban,693.3,Constant Heavy,7,3,False,718.9705,14.5,Usage is within normal expected range compared to peers.
B0068,6.4482448,3.397461,Medium,Commercial,Dense Urban,49.78,Constant,15,2,True,366.41720000000004,89.2,Suspiciously low usage. More than 2 std devs below average (366.4 kWh) for Medium Commercial buildings.
B0069,6.4251069,3.4099901,Huge,Commercial,Suburb,2305.46,Daytime Peak,10,5,False,2410.923448275862,7.2,Usage is within normal expected range compared to peers.
B0070,6.4916404,3.3883575,Medium,Industrial,Slum,626.12,Constant Heavy,24,5,False,718.9705,63.1,Noticeably below average (719.0 kWh) for Medium Industrial buildings.
B0071,6.4953881,3.3857748,Small,Residential,Commercial District,57.45,Morning/Evening Peak,1,2,False,47.352999999999994,10.4,Usage is within normal expected range compared to peers.
B0072,6.4438377,3.376925,Medium,Commercial,Commercial District,352.79,Daytime Peak,1,3,False,366.41720000000004,13.2,Usage is within normal expected range compared to peers.
B0073,6.4465964,3.3749779,Huge,Commercial,Commercial District,2696.98,Daytime Peak,2,1,False,2410.923448275862,10.9,Usage is within normal expected range compared to peers.
B0074,6.4359537,3.4515828,Small,Residential,Dense Urban,52.78,Morning/Evening Peak,14,3,False,47.352999999999994,9.0,Usage is within normal expected range compared to peers.
B0075,6.4959073,3.3882859,Large,Residential,Commercial District,417.6,Morning/Evening Peak,1,3,False,412.80782608695654,6.1,Usage is within normal expected range compared to peers.
B0076,6.4914415,3.3871191,Large,Commercial,Slum,866.86,Daytime Peak,29,9,False,1013.3372222222222,61.8,Noticeably below average (1013.3 kWh) for Large Commercial buildings.
B0077,6.5000885,3.3896774,Huge,Residential,Slum,935.1,Morning/Evening Peak,16,6,False,843.0926315789474,21.4,Usage is within normal expected range compared to peers.
B0078,6.4231206,3.4068593,Medium,Industrial,Commercial District,826.29,Constant Heavy,2,2,False,718.9705,14.7,Usage is within normal expected range compared to peers.
B0079,6.4414791,3.4198066,Small,Industrial,Suburb,289.31,Constant Heavy,7,3,False,255.02166666666668,7.1,Usage is within normal expected range compared to peers.
B0080,6.4258218,3.4087311,Huge,Commercial,Suburb,2657.56,Daytime Peak,2,5,False,2410.923448275862,11.6,Usage is within normal expected range compared to peers.
B0081,6.4332899,3.4692032,Medium,Industrial,Suburb,671.82,Constant Heavy,3,2,False,718.9705,14.8,Usage is within normal expected range compared to peers.
B0082,6.4700945,3.3652993,Huge,Commercial,Dense Urban,2892.57,Daytime Peak,15,3,False,2410.923448275862,14.9,Usage is within normal expected range compared to peers.
B0083,6.4437828,3.3770276,Huge,Industrial,Slum,4378.88,Constant Heavy,21,9,False,4032.0216666666665,17.9,Usage is within normal expected range compared to peers.
B0084,6.5925504,3.3936298,Large,Residential,Slum,422.13,Constant,30,7,False,412.80782608695654,19.9,Usage is within normal expected range compared to peers.
B0085,6.4436235,3.4227306,Huge,Industrial,Suburb,5467.84,Constant Heavy,5,2,False,4032.0216666666665,13.1,Usage is within normal expected range compared to peers.
B0086,6.5917706,3.3936805,Medium,Residential,Suburb,162.59,Constant,8,3,False,143.5676,10.2,Usage is within normal expected range compared to peers.
B0087,6.4240585,3.4097494,Medium,Commercial,Slum,438.76,Daytime Peak,29,4,False,366.41720000000004,24.5,Usage is within normal expected range compared to peers.
B0088,6.4956735,3.387405,Medium,Commercial,Dense Urban,406.72,Daytime Peak,11,2,False,366.41720000000004,10.8,Usage is within normal expected range compared to peers.
B0089,6.5339503,3.3129376,Medium,Commercial,Commercial District,419.65,Daytime Peak,4,2,False,366.41720000000004,14.7,Usage is within normal expected range compared to peers.
B0090,6.4912764,3.3871825,Large,Industrial,Suburb,2013.93,Constant Heavy,7,2,False,1901.3005555555558,14.9,Usage is within normal expected range compared to peers.
B0091,6.440024,3.4081607,Huge,Commercial,Dense Urban,495.64,Daytime Peak,6,2,True,2410.923448275862,85.1,Suspiciously low usage. More than 2 std devs below average (2410.9 kWh) for Huge Commercial buildings.
B0092,6.4972213,3.3500303,Huge,Residential,Slum,1012.8,Morning/Evening Peak,20,10,False,843.0926315789474,16.3,Usage is within normal expected range compared to peers.
B0093,6.4503844,3.4162481,Small,Industrial,Commercial District,238.2,Constant Heavy,2,1,False,255.02166666666668,5.9,Usage is within normal expected range compared to peers.
B0094,6.4464841,3.3749161,Medium,Residential,Suburb,123.84,Morning/Evening Peak,2,2,False,143.5676,54.9,Noticeably below average (143.6 kWh) for Medium Residential buildings.
B0095,6.4399173,3.4084179,Medium,Commercial,Suburb,350.48,Constant,5,5,False,366.41720000000004,13.8,Usage is within normal expected range compared to peers.
B0096,6.4615192,3.3919502,Large,Commercial,Commercial District,1076.18,Daytime Peak,5,3,False,1013.3372222222222,6.1,Usage is within normal expected range compared to peers.
B0097,6.4827278,3.3602366,Huge,Commercial,Dense Urban,2852.23,Daytime Peak,7,3,False,2410.923448275862,5.5,Usage is within normal expected range compared to peers.
B0098,6.4481083,3.3976307,Large,Commercial,Suburb,1153.12,Daytime Peak,5,4,False,1013.3372222222222,6.3,Usage is within normal expected range compared to peers.
B0099,6.4702644,3.3697064,Medium,Residential,Commercial District,170.05,Morning/Evening Peak,2,3,False,143.5676,5.9,Usage is within normal expected range compared to peers.
B0100,6.4434183,3.3807329,Small,Residential,Dense Urban,52.8,Morning/Evening Peak,5,2,False,47.352999999999994,5.0,Usage is within normal expected range compared to peers.
B0101,6.4332627,3.470223,Large,Industrial,Dense Urban,2199.91,Constant Heavy,13,3,False,1901.3005555555558,5.7,Usage is within normal expected range compared to peers.
B0102,6.4680008,3.3683023,Small,Industrial,Slum,266.46,Constant Heavy,22,6,False,255.02166666666668,22.1,Usage is within normal expected range compared to peers.
B0103,6.433696,3.4079273,Large,Residential,Commercial District,469.59,Morning/Evening Peak,1,2,False,412.80782608695654,9.3,Usage is within normal expected range compared to peers.
B0104,6.439179,3.4066572,Large,Residential,Suburb,390.67,Morning/Evening Peak,9,5,False,412.80782608695654,10.2,Usage is within normal expected range compared to peers.
B0105,6.4389095,3.3928272,Large,Commercial,Commercial District,987.71,Daytime Peak,3,2,False,1013.3372222222222,11.8,Usage is within normal expected range compared to peers.
B0106,6.5340354,3.3113763,Medium,Residential,Slum,167.52,Morning/Evening Peak,21,11,False,143.5676,17.6,Usage is within normal expected range compared to peers.
B0107,6.4351141,3.4081065,Large,Residential,Suburb,462.96,Erratic,4,3,False,412.80782608695654,25.3,Erratic load type is unusual for this property tag.
B0108,6.591167,3.3930596,Small,Commercial,Dense Urban,147.72,Daytime Peak,14,6,False,108.35470588235295,5.2,Usage is within normal expected range compared to peers.
B0109,6.4232429,3.4081917,Large,Industrial,Dense Urban,2398.97,Constant Heavy,9,2,False,1901.3005555555558,12.3,Usage is within normal expected range compared to peers.
B0110,6.4301274,3.4207064,Small,Industrial,Slum,254.51,Constant Heavy,27,10,False,255.02166666666668,20.4,Usage is within normal expected range compared to peers.
B0111,6.5870649,3.3550851,Small,Residential,Slum,45.14,Constant,16,6,False,47.352999999999994,23.9,Usage is within normal expected range compared to peers.
B0112,6.5897666,3.3932351,Large,Commercial,Slum,1160.95,Daytime Peak,23,12,False,1013.3372222222222,15.2,Usage is within normal expected range compared to peers.
B0113,6.4359331,3.4472114,Medium,Industrial,Suburb,850.53,Constant Heavy,7,5,False,718.9705,13.3,Usage is within normal expected range compared to peers.
B0114,6.4484124,3.3975887,Large,Residential,Slum,431.24,Constant,27,10,False,412.80782608695654,15.7,Usage is within normal expected range compared to peers.
B0115,6.4498764,3.3976648,Huge,Commercial,Commercial District,2509.55,Daytime Peak,2,1,False,2410.923448275862,7.8,Usage is within normal expected range compared to peers.
B0116,6.4483773,3.3978316,Huge,Industrial,Slum,4156.72,Constant Heavy,18,11,False,4032.0216666666665,16.1,Usage is within normal expected range compared to peers.
B0117,6.4774996,3.3657993,Huge,Residential,Dense Urban,808.46,Morning/Evening Peak,5,4,False,843.0926315789474,14.5,Usage is within normal expected range compared to peers.
B0118,6.4440235,3.3763964,Huge,Industrial,Slum,4353.28,Constant Heavy,17,5,False,4032.0216666666665,17.4,Usage is within normal expected range compared to peers.
B0119,6.4338081,3.4692495,Large,Residential,Suburb,396.09,Constant,7,5,False,412.80782608695654,11.2,Usage is within normal expected range compared to peers.
B0120,6.4335736,3.469066,Small,Industrial,Commercial District,210.87,Constant Heavy,5,3,False,255.02166666666668,51.4,Noticeably below average (255.0 kWh) for Small Industrial buildings.
B0121,6.4463929,3.3752517,Large,Residential,Slum,320.66,Morning/Evening Peak,30,11,False,412.80782608695654,100.0,Suspiciously low usage. More than 2 std devs below average (412.8 kWh) for Large Residential buildings.
B0122,6.434279,3.4692514,Huge,Residential,Dense Urban,978.85,Morning/Evening Peak,7,5,False,843.0926315789474,13.9,Usage is within normal expected range compared to peers.
B0123,6.47039,3.3650651,Large,Industrial,Suburb,2299.58,Constant Heavy,4,2,False,1901.3005555555558,5.3,Usage is within normal expected range compared to peers.
B0124,6.4396322,3.4056916,Huge,Industrial,Dense Urban,4607.91,Constant Heavy,11,5,False,4032.0216666666665,12.0,Usage is within normal expected range compared to peers.
B0125,6.4243925,3.4090654,Large,Residential,Slum,328.89,Erratic,28,10,False,412.80782608695654,100.0,Suspiciously low usage. More than 2 std devs below average (412.8 kWh) for Large Residential buildings. Erratic load type is unusual for this property tag.
B0126,6.4448761,3.3769419,Medium,Residential,Commercial District,148.83,Morning/Evening Peak,4,1,False,143.5676,7.6,Usage is within normal expected range compared to peers.
B0127,6.4933762,3.388337,Medium,Commercial,Dense Urban,340.04,Daytime Peak,6,5,False,366.41720000000004,10.6,Usage is within normal expected range compared to peers.
B0128,6.4345175,3.4691507,Large,Commercial,Dense Urban,1181.99,Daytime Peak,12,3,False,1013.3372222222222,6.1,Usage is within normal expected range compared to peers.
B0129,6.5919689,3.3942384,Medium,Commercial,Commercial District,421.7,Daytime Peak,5,1,False,366.41720000000004,11.1,Usage is within normal expected range compared to peers.
B0130,6.443513,3.3773245,Small,Industrial,Dense Urban,260.75,Constant Heavy,10,4,False,255.02166666666668,10.9,Usage is within normal expected range compared to peers.
B0131,6.5908217,3.3938555,Huge,Industrial,Slum,4414.88,Constant Heavy,26,11,False,4032.0216666666665,22.4,Usage is within normal expected range compared to peers.
B0132,6.450521,3.4058598,Large,Commercial,Slum,969.46,Daytime Peak,27,10,False,1013.3372222222222,22.0,Usage is within normal expected range compared to peers.
B0133,6.4329649,3.4690553,Huge,Commercial,Suburb,2514.84,Daytime Peak,7,5,False,2410.923448275862,9.2,Usage is within normal expected range compared to peers.
B0134,6.4987032,3.3873617,Small,Commercial,Suburb,17.96,Daytime Peak,10,3,True,108.35470588235295,90.2,Suspiciously low usage. More than 2 std devs below average (108.4 kWh) for Small Commercial buildings.
B0135,6.445378,3.3759381,Medium,Residential,Dense Urban,138.25,Morning/Evening Peak,13,4,False,143.5676,13.0,Usage is within normal expected range compared to peers.
B0136,6.451077,3.3990048,Medium,Industrial,Commercial District,773.12,Constant Heavy,2,3,False,718.9705,5.3,Usage is within normal expected range compared to peers.
B0137,6.4395551,3.4958624,Medium,Residential,Commercial District,146.46,Morning/Evening Peak,2,3,False,143.5676,5.8,Usage is within normal expected range compared to peers.
B0138,6.490646,3.3847633,Small,Industrial,Suburb,285.89,Constant Heavy,2,2,False,255.02166666666668,7.6,Usage is within normal expected range compared to peers.
B0139,6.5900831,3.392924,Medium,Industrial,Suburb,759.09,Constant Heavy,7,3,False,718.9705,14.8,Usage is within normal expected range compared to peers.
B0140,6.4920183,3.3859832,Medium,Industrial,Dense Urban,682.14,Constant Heavy,7,4,False,718.9705,12.9,Usage is within normal expected range compared to peers.
B0141,6.489783,3.3846665,Huge,Residential,Suburb,961.99,Morning/Evening Peak,4,5,False,843.0926315789474,10.5,Usage is within normal expected range compared to peers.
B0142,6.4809186,3.3523889,Medium,Residential,Slum,121.05,Morning/Evening Peak,30,12,False,143.5676,63.5,Noticeably below average (143.6 kWh) for Medium Residential buildings.
B0143,6.4315209,3.48189,Small,Residential,Commercial District,47.07,Morning/Evening Peak,2,2,False,47.352999999999994,13.9,Usage is within normal expected range compared to peers.
B0144,6.4466019,3.374741,Small,Residential,Dense Urban,54.47,Morning/Evening Peak,12,5,False,47.352999999999994,12.5,Usage is within normal expected range compared to peers.
B0145,6.4956747,3.3864756,Medium,Commercial,Slum,428.83,Constant,30,10,False,366.41720000000004,21.6,Usage is within normal expected range compared to peers.
B0146,6.4538079,3.3554226,Medium,Industrial,Suburb,644.08,Constant Heavy,8,2,False,718.9705,10.3,Usage is within normal expected range compared to peers.
B0147,6.5719431,3.3365016,Medium,Industrial,Commercial District,849.62,Constant Heavy,2,3,False,718.9705,14.2,Usage is within normal expected range compared to peers.
B0148,6.4340837,3.4690717,Huge,Commercial,Commercial District,2482.41,Daytime Peak,4,3,False,2410.923448275862,13.9,Usage is within normal expected range compared to peers.
B0149,6.4437241,3.3769617,Small,Commercial,Suburb,128.69,Daytime Peak,6,5,False,108.35470588235295,14.4,Usage is within normal expected range compared to peers.
B0150,6.4965348,3.3922095,Medium,Commercial,Suburb,316.63,Constant,9,5,False,366.41720000000004,5.2,Usage is within normal expected range compared to peers.
B0151,6.430802,3.4070974,Huge,Industrial,Dense Urban,4609.2,Constant Heavy,8,5,False,4032.0216666666665,7.5,Usage is within normal expected range compared to peers.
B0152,6.4233763,3.4087585,Huge,Commercial,Suburb,2328.48,Constant,7,3,False,2410.923448275862,5.2,Usage is within normal expected range compared to peers.
B0153,6.4911087,3.3865228,Small,Residential,Slum,41.25,Morning/Evening Peak,29,4,False,47.352999999999994,19.4,Usage is within normal expected range compared to peers.
B0154,6.4494804,3.3970214,Medium,Residential,Dense Urban,175.91,Morning/Evening Peak,8,3,False,143.5676,9.6,Usage is within normal expected range compared to peers.
B0155,6.5724048,3.3358538,Huge,Commercial,Slum,2397.7,Daytime Peak,24,6,False,2410.923448275862,24.3,Usage is within normal expected range compared to peers.
B0156,6.4263767,3.3325948,Large,Commercial,Slum,1122.87,Daytime Peak,16,5,False,1013.3372222222222,15.6,Usage is within normal expected range compared to peers.
B0157,6.4453306,3.3760202,Large,Commercial,Dense Urban,953.27,Daytime Peak,13,4,False,1013.3372222222222,8.0,Usage is within normal expected range compared to peers.
B0158,6.4791067,3.361886,Large,Industrial,Slum,1909.37,Constant Heavy,18,11,False,1901.3005555555558,20.6,Usage is within normal expected range compared to peers.
B0159,6.495565,3.3859956,Small,Residential,Dense Urban,8.68,Constant,14,5,True,47.352999999999994,94.1,Suspiciously low usage. More than 2 std devs below average (47.4 kWh) for Small Residential buildings.
B0160,6.4335261,3.4702255,Huge,Industrial,Commercial District,4088.27,Constant Heavy,2,2,False,4032.0216666666665,14.6,Usage is within normal expected range compared to peers.
B0161,6.4511248,3.3950444,Medium,Commercial,Slum,429.77,Daytime Peak,26,10,False,366.41720000000004,19.7,Usage is within normal expected range compared to peers.
B0162,6.4901555,3.3845142,Huge,Residential,Suburb,912.06,Morning/Evening Peak,9,5,False,843.0926315789474,11.2,Usage is within normal expected range compared to peers.
B0163,6.5909277,3.3939401,Small,Commercial,Suburb,142.68,Daytime Peak,5,3,False,108.35470588235295,5.8,Usage is within normal expected range compared to peers.
B0164,6.4965461,3.3877622,Small,Industrial,Slum,201.28,Constant Heavy,26,7,False,255.02166666666668,58.6,Noticeably below average (255.0 kWh) for Small Industrial buildings.
B0165,6.4691892,3.3666079,Huge,Residential,Dense Urban,911.71,Morning/Evening Peak,12,6,False,843.0926315789474,13.1,Usage is within normal expected range compared to peers.
B0166,6.4913058,3.3880349,Medium,Residential,Dense Urban,150.41,Morning/Evening Peak,14,4,False,143.5676,7.2,Usage is within normal expected range compared to peers.
B0167,6.4635999,3.303123,Small,Industrial,Dense Urban,278.31,Constant Heavy,7,3,False,255.02166666666668,13.9,Usage is within normal expected range compared to peers.
B0168,6.4239956,3.3401618,Large,Residential,Commercial District,357.45,Morning/Evening Peak,4,2,False,412.80782608695654,51.5,Noticeably below average (412.8 kWh) for Large Residential buildings.
B0169,6.4251931,3.3400191,Medium,Residential,Slum,153.01,Erratic,28,7,False,143.5676,38.6,Erratic load type is unusual for this property tag.
B0170,6.4436253,3.3773479,Huge,Residential,Suburb,872.59,Morning/Evening Peak,3,2,False,843.0926315789474,5.5,Usage is within normal expected range compared to peers.
B0171,6.4907354,3.3869628,Medium,Industrial,Slum,656.46,Constant Heavy,23,7,False,718.9705,18.2,Usage is within normal expected range compared to peers.
B0172,6.4385475,3.4079921,Small,Commercial,Dense Urban,149.03,Constant,13,4,False,108.35470588235295,7.0,Usage is within normal expected range compared to peers.
B0173,6.4506363,3.3965636,Medium,Commercial,Suburb,382.3,Daytime Peak,3,4,False,366.41720000000004,13.6,Usage is within normal expected range compared to peers.
